title,company_name,location_city,location_state,location_zip,compensation_pay,description_all
x,x,ALEXANDRIA,VA,22336,103873,x
x,x,SAN JOSE,CA,95125,100530,x
x,x,AUSTIN,TX,78722,118020,x
x,x,WESTLAKE,TX,,103930,x
x,x,CLEMSON,SC,29632,77184,x
x,x,ENGLEWOOD,CO,80111,27240,x
x,x,FOSTER CITY,CA,,106610,x
x,x,SALT LAKE CITY,UT,84123,47312,x
x,x,DENVER,CO,80249,93136,x
x,x,SAN FRANCISCO,CA,94121,115941,x
x,x,NEW YORK,NY,10015,121110,x
x,x,PLANO,TX,75026,81460,x
x,x,HARTFORD,CT,6103,115139,x
x,x,BOSTON,MA,2127,102730,x
x,x,SEATTLE,WA,98118,81495,x
x,x,DES MOINES,IA,50301,38036,x
x,x,HOPKINTON,MA,1748,135930,x
x,x,BOSTON,MA,2127,110367,x
x,x,MONTGOMERY,AL,36111,50911,x
x,x,NEW YORK,NY,10015,98613,x
x,x,NEW YORK,NY,10015,121110,x
x,x,DES MOINES,IA,50316,64734,x
x,x,BOSTON,MA,2127,135930,x
x,x,SAN FRANCISCO,CA,94121,105120,x
x,x,PLANO,TX,75025,88373,x
x,x,NEW YORK,NY,10015,121110,x
x,x,SEATTLE,WA,98118,111710,x
x,x,ALEXANDRIA,VA,22336,63050,x
x,x,BRENTWOOD,MD,20722,71090,x
x,x,CAMBRIDGE,MA,2140,50911,x
x,x,OAKLAND,CA,94601,92926,x
x,x,ANDREWS AFB,MD,,71090,x
x,x,MENLO PARK,CA,94025,127548,x
x,x,REDWOOD CITY,CA,,127548,x
x,x,ASHBURN,VA,20148,124984,x
x,x,SAN JOSE,CA,95125,106610,x
x,x,SALT LAKE CITY,UT,84107,47312,x
x,x,DENVER,CO,80231,50911,x
x,x,SAN FRANCISCO,CA,94112,,x
x,x,,NY,,,x
x,x,BELTSVILLE,MD,20705,71090,x
x,x,PALO ALTO,CA,94306,50911,x
x,x,EL PASO,TX,79901,50911,x
x,x,GROTON,CT,6349,85950,x
x,x,CAMBRIDGE,MA,2238,50911,x
x,x,OAKLAND,CA,94601,131789,x
x,x,RALEIGH,NC,27601,112400,x
x,x,NEW YORK,NY,10015,99610,x
x,x,MENLO PARK,CA,94025,50911,x
x,x,NEW YORK,NY,10075,121110,x
x,x,HOPKINTON,MA,1748,135930,x
x,x,CHICAGO,IL,60606,86980,x
x,x,SAN FRANCISCO,CA,94121,136711,x
x,x,PITTSBURGH,PA,15213,87490,x
x,x,BOSTON,MA,2127,80320,x
x,x,DALLAS,TX,75214,88373,x
x,x,BOSTON,MA,2108,162626,x
x,x,OKLAHOMA CITY,OK,73102,82480,x
x,x,ARLINGTON,VA,22209,111840,x
x,x,INDIANAPOLIS,IN,46202,142460,x
x,x,DALLAS,TX,75214,81460,x
x,x,NON,OK,,72539,x
x,x,REDWOOD CITY,CA,,127548,x
x,x,WESTLAKE,TX,76262,141199,x
x,x,SUNNYVALE,CA,94087,75870,x
x,x,SAN BRUNO,CA,94066,106610,x
x,x,DALLAS,TX,75201,118020,x
x,x,SAN JOSE,CA,95115,106610,x
x,x,RESTON,VA,20191,156000,x
x,x,SEATTLE,WA,98118,90630,x
x,x,CHICAGO,IL,60624,,x
x,x,NEW YORK,NY,,121110,x
x,x,REDMOND,WA,98052,115637,x
x,x,SANTA CLARA,CA,95054,80861,x
x,x,ALEXANDRIA,VA,22336,103873,x
x,x,KANSAS CITY,MO,64132,50911,x
x,x,ASHBURN,VA,20146,124984,x
x,x,SKILLMAN,NJ,8558,50911,x
x,x,NEW YORK,NY,10015,173446,x
x,x,CARLSBAD,CA,92008,106610,x
x,x,,VA,,63050,x
